
C:\Users\Aale\Dropbox\Development\Java-ws\SMOPs\phantomjs>phantomjs.exe examples/netlog.js 
http://stackoverflow.com/
http://grammarist.com/usage/dove-dived/
0 >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> http://stackoverflow.com/
REQ about:blank http://stackoverflow.com/
REC about:blank http://stackoverflow.com/
REQ http://stackoverflow.com/ http://ajax.googleapis.com/ajax/libs/jquery/1.7.1/jquery.min.js
REQ http://stackoverflow.com/ http://cdn.sstatic.net/Js/stub.en.js?v=fed783758a82
REQ http://stackoverflow.com/ http://cdn.sstatic.net/stackoverflow/all.css?v=d9d1d7997efa
REC http://stackoverflow.com/ http://stackoverflow.com/
REC http://stackoverflow.com/ http://cdn.sstatic.net/Js/stub.en.js?v=fed783758a82
REC http://stackoverflow.com/ http://cdn.sstatic.net/Js/stub.en.js?v=fed783758a82
REC http://stackoverflow.com/ http://cdn.sstatic.net/stackoverflow/all.css?v=d9d1d7997efa
REC http://stackoverflow.com/ http://cdn.sstatic.net/stackoverflow/all.css?v=d9d1d7997efa
REC http://stackoverflow.com/ http://ajax.googleapis.com/ajax/libs/jquery/1.7.1/jquery.min.js
REC http://stackoverflow.com/ http://ajax.googleapis.com/ajax/libs/jquery/1.7.1/jquery.min.js
REQ http://stackoverflow.com/ http://cdn.sstatic.net/img/share-sprite-new.png?v=204b1e0e421b
REQ http://stackoverflow.com/ http://i.stack.imgur.com/BfCOt.png
REQ http://stackoverflow.com/ http://i.stack.imgur.com/tKsDb.png
REQ http://stackoverflow.com/ http://i.stack.imgur.com/xKsQb.png
REQ http://stackoverflow.com/ http://cdn.sstatic.net/stackoverflow/img/sprites.png?v=f936a8b3d6ea
REQ http://stackoverflow.com/ http://cdn.sstatic.net/Img/mini-hero-bg.png?v=7f269bbbdb22
REQ http://stackoverflow.com/ http://cdn.sstatic.net/Img/sprite-herobox.png?v=d173774f3a9f
REC http://stackoverflow.com/ http://cdn.sstatic.net/img/share-sprite-new.png?v=204b1e0e421b
REC http://stackoverflow.com/ http://cdn.sstatic.net/Img/mini-hero-bg.png?v=7f269bbbdb22
REC http://stackoverflow.com/ http://cdn.sstatic.net/Img/mini-hero-bg.png?v=7f269bbbdb22
REC http://stackoverflow.com/ http://cdn.sstatic.net/stackoverflow/img/sprites.png?v=f936a8b3d6ea
REC http://stackoverflow.com/ http://cdn.sstatic.net/img/share-sprite-new.png?v=204b1e0e421b
REC http://stackoverflow.com/ http://i.stack.imgur.com/BfCOt.png
REC http://stackoverflow.com/ http://i.stack.imgur.com/BfCOt.png
REC http://stackoverflow.com/ http://i.stack.imgur.com/tKsDb.png
REC http://stackoverflow.com/ http://cdn.sstatic.net/Img/sprite-herobox.png?v=d173774f3a9f
REC http://stackoverflow.com/ http://i.stack.imgur.com/tKsDb.png
REC http://stackoverflow.com/ http://cdn.sstatic.net/Img/sprite-herobox.png?v=d173774f3a9f
REC http://stackoverflow.com/ http://i.stack.imgur.com/xKsQb.png
REC http://stackoverflow.com/ http://i.stack.imgur.com/xKsQb.png
REC http://stackoverflow.com/ http://cdn.sstatic.net/stackoverflow/img/sprites.png?v=f936a8b3d6ea
REQ http://stackoverflow.com/ http://cdn.sstatic.net/img/favicons-sprite16.png?v=216df61f8f7da64ad3926fb1a03e996e
REQ http://stackoverflow.com/ http://static.adzerk.net/ados.js
REQ http://stackoverflow.com/ http://www.google-analytics.com/analytics.js
REQ http://stackoverflow.com/ http://edge.quantserve.com/quant.js
REQ http://stackoverflow.com/ http://b.scorecardresearch.com/beacon.js
REQ http://stackoverflow.com/ http://cdn.sstatic.net/Js/full-anon.en.js?v=b689e0fc153f
REC http://stackoverflow.com/ http://cdn.sstatic.net/img/favicons-sprite16.png?v=216df61f8f7da64ad3926fb1a03e996e
REC http://stackoverflow.com/ http://cdn.sstatic.net/Js/full-anon.en.js?v=b689e0fc153f
REC http://stackoverflow.com/ http://www.google-analytics.com/analytics.js
REC http://stackoverflow.com/ http://www.google-analytics.com/analytics.js
REQ http://stackoverflow.com/ http://www.google-analytics.com/collect?v=1&_v=j22&a=1357610571&t=pageview&_s=1&dl=http%3A%2F%2Fstackoverflow.com%2F&ul=en-us&de=UTF-8&dt=Stack%20Overflow&sd=32-bit&sr=1366x768&vp=400x300&je=0&_u=MEAAAAQ~&cid=550755536.1402097003&tid=UA-5620270-1&z=863506800
REC http://stackoverflow.com/ http://cdn.sstatic.net/Js/full-anon.en.js?v=b689e0fc153f
REC http://stackoverflow.com/ http://cdn.sstatic.net/img/favicons-sprite16.png?v=216df61f8f7da64ad3926fb1a03e996e
REQ http://stackoverflow.com/ http://cdn-careers.sstatic.net/careers/gethired/loader.min.js?v=30545527b509
REQ http://stackoverflow.com/ http://stackoverflow.com/gps/event
REQ http://stackoverflow.com/ http://stackoverflow.com/users/login/global/request
REC http://stackoverflow.com/ http://edge.quantserve.com/quant.js
REC http://stackoverflow.com/ http://edge.quantserve.com/quant.js
REC http://stackoverflow.com/ http://www.google-analytics.com/collect?v=1&_v=j22&a=1357610571&t=pageview&_s=1&dl=http%3A%2F%2Fstackoverflow.com%2F&ul=en-us&de=UTF-8&dt=Stack%20Overflow&sd=32-bit&sr=1366x768&vp=400x300&je=0&_u=MEAAAAQ~&cid=550755536.1402097003&tid=UA-5620270-1&z=863506800
REC http://stackoverflow.com/ http://www.google-analytics.com/collect?v=1&_v=j22&a=1357610571&t=pageview&_s=1&dl=http%3A%2F%2Fstackoverflow.com%2F&ul=en-us&de=UTF-8&dt=Stack%20Overflow&sd=32-bit&sr=1366x768&vp=400x300&je=0&_u=MEAAAAQ~&cid=550755536.1402097003&tid=UA-5620270-1&z=863506800
REQ http://stackoverflow.com/ http://pixel.quantserve.com/pixel;r=1371413988;a=p-c1rF4kxgLUzNc;fpan=1;fpa=P0-1125498012-1402097003431;ns=0;ce=1;cm=;je=0;sr=1366x768x32;enc=n;dst=1;et=1402097003430;tzo=420;ref=;url=http%3A%2F%2Fstackoverflow.com%2F;ogl=
REC http://stackoverflow.com/ http://cdn-careers.sstatic.net/careers/gethired/loader.min.js?v=30545527b509
REC http://stackoverflow.com/ http://cdn-careers.sstatic.net/careers/gethired/loader.min.js?v=30545527b509
REC http://stackoverflow.com/ http://b.scorecardresearch.com/beacon.js
REC http://stackoverflow.com/ http://b.scorecardresearch.com/beacon.js
REQ http://stackoverflow.com/ http://b.scorecardresearch.com/b?c1=2&c2=17440561&ns__t=1402097003493&ns_c=UTF-8&c8=Stack%20Overflow&c7=http%3A%2F%2Fstackoverflow.com%2F&c9=
REC http://stackoverflow.com/ http://pixel.quantserve.com/pixel;r=1371413988;a=p-c1rF4kxgLUzNc;fpan=1;fpa=P0-1125498012-1402097003431;ns=0;ce=1;cm=;je=0;sr=1366x768x32;enc=n;dst=1;et=1402097003430;tzo=420;ref=;url=http%3A%2F%2Fstackoverflow.com%2F;ogl=
REC http://stackoverflow.com/ http://pixel.quantserve.com/pixel;r=1371413988;a=p-c1rF4kxgLUzNc;fpan=1;fpa=P0-1125498012-1402097003431;ns=0;ce=1;cm=;je=0;sr=1366x768x32;enc=n;dst=1;et=1402097003430;tzo=420;ref=;url=http%3A%2F%2Fstackoverflow.com%2F;ogl=
REC http://stackoverflow.com/ http://static.adzerk.net/ados.js
REC http://stackoverflow.com/ http://static.adzerk.net/ados.js
REQ http://stackoverflow.com/ http://engine.adzerk.net/ados?t=1402097003516&request=%7B%22Placements%22:%5B%7B%22A%22:22,%22S%22:8277,%22D%22:%22adzerk197140175%22,%22AT%22:17,%22Z%22:45%7D%5D,%22Keywords%22:%22undefined%22,%22Referrer%22:%22%22,%22IsAsync%22:true%7D
REC http://stackoverflow.com/ http://stackoverflow.com/gps/event
REC http://stackoverflow.com/ http://b.scorecardresearch.com/b?c1=2&c2=17440561&ns__t=1402097003493&ns_c=UTF-8&c8=Stack%20Overflow&c7=http%3A%2F%2Fstackoverflow.com%2F&c9=
REQ http://stackoverflow.com/ http://b.scorecardresearch.com/b2?c1=2&c2=17440561&ns__t=1402097003493&ns_c=UTF-8&c8=Stack%20Overflow&c7=http%3A%2F%2Fstackoverflow.com%2F&c9=
REC http://stackoverflow.com/ http://b.scorecardresearch.com/b2?c1=2&c2=17440561&ns__t=1402097003493&ns_c=UTF-8&c8=Stack%20Overflow&c7=http%3A%2F%2Fstackoverflow.com%2F&c9=
REC http://stackoverflow.com/ http://stackoverflow.com/users/login/global/request
REC http://stackoverflow.com/ http://stackoverflow.com/users/login/global/request
REQ http://stackoverflow.com/ https://stackauth.com/auth/global/read?request=lMXELubEAkmxOGXj3eHCz7MwWUckfb%2B%2FwjK7APENXn%2BlhY6MojLSUCIWIAn8nuf0ynlC9CYVfJr5Z1BbByeElw%3D%3D&nonce=bU2SUwAAAABDyaKLVPe7gg%3D%3D
REC http://stackoverflow.com/ http://engine.adzerk.net/ados?t=1402097003516&request=%7B%22Placements%22:%5B%7B%22A%22:22,%22S%22:8277,%22D%22:%22adzerk197140175%22,%22AT%22:17,%22Z%22:45%7D%5D,%22Keywords%22:%22undefined%22,%22Referrer%22:%22%22,%22IsAsync%22:true%7D
REC http://stackoverflow.com/ http://engine.adzerk.net/ados?t=1402097003516&request=%7B%22Placements%22:%5B%7B%22A%22:22,%22S%22:8277,%22D%22:%22adzerk197140175%22,%22AT%22:17,%22Z%22:45%7D%5D,%22Keywords%22:%22undefined%22,%22Referrer%22:%22%22,%22IsAsync%22:true%7D
REQ http://stackoverflow.com/ http://engine.adzerk.net/i.gif?e=eyJhdiI6NDE0LCJhdCI6MTcsImNtIjo5MjEsImNoIjoxMTc4LCJjciI6MjY4OCwiZGkiOiI2NWRmODMzYjMyZjU0NTdhOTY2YzEzNjIwZmM4ZTYwNCIsImRtIjoxLCJmYyI6MjQ4NSwiZmwiOjI2NjMsIm53IjoyMiwicGMiOjAsInByIjoxNTY4LCJydCI6MSwic3QiOjgyNzcsInVrIjoidWUxLTMzNDhlNzEwNWIyNzQzNWM5Y2MwZGRiYzAwMmI1Nzk1Iiwiem4iOjQ1LCJ0cyI6MTQwMjA5NzE1NjI3MX0&s=Tgd111YFd8NekkMmPjpKI5kmIg0
REC http://stackoverflow.com/ https://stackauth.com/auth/global/read?request=lMXELubEAkmxOGXj3eHCz7MwWUckfb%2B%2FwjK7APENXn%2BlhY6MojLSUCIWIAn8nuf0ynlC9CYVfJr5Z1BbByeElw%3D%3D&nonce=bU2SUwAAAABDyaKLVPe7gg%3D%3D
REC http://stackoverflow.com/ https://stackauth.com/auth/global/read?request=lMXELubEAkmxOGXj3eHCz7MwWUckfb%2B%2FwjK7APENXn%2BlhY6MojLSUCIWIAn8nuf0ynlC9CYVfJr5Z1BbByeElw%3D%3D&nonce=bU2SUwAAAABDyaKLVPe7gg%3D%3D
REQ http://stackoverflow.com/ http://cdn-careers.sstatic.net/careers/gethired/sidebar.min.css?v=88f3fd5e2263
REQ http://stackoverflow.com/ http://careers.stackoverflow.com/gethired/js?large=true
REC http://stackoverflow.com/ http://cdn-careers.sstatic.net/careers/gethired/sidebar.min.css?v=88f3fd5e2263
REC http://stackoverflow.com/ http://cdn-careers.sstatic.net/careers/gethired/sidebar.min.css?v=88f3fd5e2263
REC http://stackoverflow.com/ http://engine.adzerk.net/i.gif?e=eyJhdiI6NDE0LCJhdCI6MTcsImNtIjo5MjEsImNoIjoxMTc4LCJjciI6MjY4OCwiZGkiOiI2NWRmODMzYjMyZjU0NTdhOTY2YzEzNjIwZmM4ZTYwNCIsImRtIjoxLCJmYyI6MjQ4NSwiZmwiOjI2NjMsIm53IjoyMiwicGMiOjAsInByIjoxNTY4LCJydCI6MSwic3QiOjgyNzcsInVrIjoidWUxLTMzNDhlNzEwNWIyNzQzNWM5Y2MwZGRiYzAwMmI1Nzk1Iiwiem4iOjQ1LCJ0cyI6MTQwMjA5NzE1NjI3MX0&s=Tgd111YFd8NekkMmPjpKI5kmIg0
REC http://stackoverflow.com/ http://engine.adzerk.net/i.gif?e=eyJhdiI6NDE0LCJhdCI6MTcsImNtIjo5MjEsImNoIjoxMTc4LCJjciI6MjY4OCwiZGkiOiI2NWRmODMzYjMyZjU0NTdhOTY2YzEzNjIwZmM4ZTYwNCIsImRtIjoxLCJmYyI6MjQ4NSwiZmwiOjI2NjMsIm53IjoyMiwicGMiOjAsInByIjoxNTY4LCJydCI6MSwic3QiOjgyNzcsInVrIjoidWUxLTMzNDhlNzEwNWIyNzQzNWM5Y2MwZGRiYzAwMmI1Nzk1Iiwiem4iOjQ1LCJ0cyI6MTQwMjA5NzE1NjI3MX0&s=Tgd111YFd8NekkMmPjpKI5kmIg0
REC http://stackoverflow.com/ http://careers.stackoverflow.com/gethired/js?large=true
REC http://stackoverflow.com/ http://careers.stackoverflow.com/gethired/js?large=true
REQ http://stackoverflow.com/ http://careers.stackoverflow.com/ad/i/17A8uEISs-17Lrn6Rt6-18WyOVQvm-18Ba48uze-18xZaccow-19yrzGD7O-Aec
REQ http://stackoverflow.com/ http://cdn-careers.sstatic.net/careers/gethired/img/careers4-ad-header-so-crop.png?v=f4ca4345dc81
1 >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> http://grammarist.com/usage/dove-dived/
REQ about:blank http://grammarist.com/usage/dove-dived/
REC http://stackoverflow.com/ http://cdn-careers.sstatic.net/careers/gethired/img/careers4-ad-header-so-crop.png?v=f4ca4345dc81
REC http://stackoverflow.com/ http://careers.stackoverflow.com/ad/i/17A8uEISs-17Lrn6Rt6-18WyOVQvm-18Ba48uze-18xZaccow-19yrzGD7O-Aec
REC http://stackoverflow.com/ http://cdn-careers.sstatic.net/careers/gethired/img/careers4-ad-header-so-crop.png?v=f4ca4345dc81
REC about:blank http://grammarist.com/usage/dove-dived/
REQ http://grammarist.com/usage/dove-dived/ http://fonts.googleapis.com/css?family=Volkhov
REQ http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-content/themes/prose-2/1034.css
REQ http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-content/themes/prose-2/719.css
REQ http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-content/uploads/prose/settings.css?ver=1397399695
REQ http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-content/uploads/prose/custom.css?ver=1378335373
REQ http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-content/themes/prose-2/style.css?ver=1.5.0
REQ http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=3.5.1
REQ http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-includes/js/jquery/jquery.js?ver=1.10.2
REQ http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.2.1
REQ http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-includes/js/comment-reply.min.js?ver=3.6
REQ http://grammarist.com/usage/dove-dived/ http://keebali.com/smartad.min.js
REQ http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-content/plugins/contact-form-7/includes/js/jquery.form.min.js?ver=3.39.0-2013.07.31
REQ http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=3.5.1
REC http://grammarist.com/usage/dove-dived/ http://grammarist.com/usage/dove-dived/
REC http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-content/themes/prose-2/1034.css
REC http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-content/themes/prose-2/1034.css
REC http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-content/themes/prose-2/719.css
REC http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-content/themes/prose-2/719.css
REC http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=3.5.1
REC http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=3.5.1
REC http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-content/uploads/prose/settings.css?ver=1397399695
REC http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-content/uploads/prose/settings.css?ver=1397399695
REC http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-content/uploads/prose/custom.css?ver=1378335373
REC http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-content/uploads/prose/custom.css?ver=1378335373
REC http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-content/themes/prose-2/style.css?ver=1.5.0
REC http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-content/themes/prose-2/style.css?ver=1.5.0
REC http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.2.1
REC http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.2.1
REC http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-includes/js/comment-reply.min.js?ver=3.6
REC http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-includes/js/comment-reply.min.js?ver=3.6
REC http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-includes/js/jquery/jquery.js?ver=1.10.2
REC http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-content/plugins/contact-form-7/includes/js/jquery.form.min.js?ver=3.39.0-2013.07.31
REC http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=3.5.1
REC http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-content/plugins/contact-form-7/includes/js/jquery.form.min.js?ver=3.39.0-2013.07.31
REC http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=3.5.1
REC http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-includes/js/jquery/jquery.js?ver=1.10.2
REQ http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-content/themes/prose-2/1519.css
REC http://grammarist.com/usage/dove-dived/ http://fonts.googleapis.com/css?family=Volkhov
REC http://grammarist.com/usage/dove-dived/ http://fonts.googleapis.com/css?family=Volkhov
REQ http://grammarist.com/usage/dove-dived/ http://www.google-analytics.com/ga.js
REQ http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-content/uploads/2010/03/dived-dove-american-english-1850-2000.png
REQ http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-content/uploads/2010/03/dived-dove-british-english-1850-20001.png
REQ http://grammarist.com/usage/dove-dived/ http://www.google-analytics.com/collect?v=1&_v=j22&a=1525330280&t=pageview&_s=1&dl=http%3A%2F%2Fgrammarist.com%2Fusage%2Fdove-dived%2F&ul=en-us&de=UTF-8&dt=Dove%20vs.%20dived%20-%20Grammarist&sd=32-bit&sr=1366x768&vp=400x300&je=0&_u=MEAAAAQ~&cid=168835800.1402097005&tid=UA-45635563-28&z=789502474
REC http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-content/themes/prose-2/1519.css
REC http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-content/themes/prose-2/1519.css
REC http://grammarist.com/usage/dove-dived/ http://keebali.com/smartad.min.js
REC http://grammarist.com/usage/dove-dived/ http://www.google-analytics.com/collect?v=1&_v=j22&a=1525330280&t=pageview&_s=1&dl=http%3A%2F%2Fgrammarist.com%2Fusage%2Fdove-dived%2F&ul=en-us&de=UTF-8&dt=Dove%20vs.%20dived%20-%20Grammarist&sd=32-bit&sr=1366x768&vp=400x300&je=0&_u=MEAAAAQ~&cid=168835800.1402097005&tid=UA-45635563-28&z=789502474
REC http://grammarist.com/usage/dove-dived/ http://www.google-analytics.com/collect?v=1&_v=j22&a=1525330280&t=pageview&_s=1&dl=http%3A%2F%2Fgrammarist.com%2Fusage%2Fdove-dived%2F&ul=en-us&de=UTF-8&dt=Dove%20vs.%20dived%20-%20Grammarist&sd=32-bit&sr=1366x768&vp=400x300&je=0&_u=MEAAAAQ~&cid=168835800.1402097005&tid=UA-45635563-28&z=789502474
REC http://grammarist.com/usage/dove-dived/ http://www.google-analytics.com/ga.js
REC http://grammarist.com/usage/dove-dived/ http://www.google-analytics.com/ga.js
REQ http://grammarist.com/usage/dove-dived/ http://www.google-analytics.com/__utm.gif?utmwv=5.5.2&utms=1&utmn=77157539&utmhn=grammarist.com&utmcs=UTF-8&utmsr=1366x768&utmvp=400x300&utmsc=32-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=Dove%20vs.%20dived%20-%20Grammarist&utmhid=1525330280&utmr=-&utmp=%2Fusage%2Fdove-dived%2F&utmht=1402097004583&utmac=UA-25717846-1&utmcc=__utma%3D90694988.168835800.1402097005.1402097005.1402097005.1%3B%2B__utmz%3D90694988.1402097005.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmu=qAAAAAAAAAAAAAAAAAAB~
REC http://grammarist.com/usage/dove-dived/ http://keebali.com/smartad.min.js
REQ http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-content/themes/prose-2/images/header.png
REQ http://grammarist.com/usage/dove-dived/ http://platform.twitter.com/widgets.js
REC http://grammarist.com/usage/dove-dived/ http://www.google-analytics.com/__utm.gif?utmwv=5.5.2&utms=1&utmn=77157539&utmhn=grammarist.com&utmcs=UTF-8&utmsr=1366x768&utmvp=400x300&utmsc=32-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=Dove%20vs.%20dived%20-%20Grammarist&utmhid=1525330280&utmr=-&utmp=%2Fusage%2Fdove-dived%2F&utmht=1402097004583&utmac=UA-25717846-1&utmcc=__utma%3D90694988.168835800.1402097005.1402097005.1402097005.1%3B%2B__utmz%3D90694988.1402097005.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmu=qAAAAAAAAAAAAAAAAAAB~
REC http://grammarist.com/usage/dove-dived/ http://www.google-analytics.com/__utm.gif?utmwv=5.5.2&utms=1&utmn=77157539&utmhn=grammarist.com&utmcs=UTF-8&utmsr=1366x768&utmvp=400x300&utmsc=32-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=Dove%20vs.%20dived%20-%20Grammarist&utmhid=1525330280&utmr=-&utmp=%2Fusage%2Fdove-dived%2F&utmht=1402097004583&utmac=UA-25717846-1&utmcc=__utma%3D90694988.168835800.1402097005.1402097005.1402097005.1%3B%2B__utmz%3D90694988.1402097005.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmu=qAAAAAAAAAAAAAAAAAAB~
REC http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-content/themes/prose-2/images/header.png
REC http://grammarist.com/usage/dove-dived/ http://grammarist.com/wp-content/themes/prose-2/images/header.png
REQ http://grammarist.com/usage/dove-dived/ http://grammarist.disqus.com/embed.js?pname=wordpress&pver=2.74
REQ http://grammarist.com/usage/dove-dived/ http://disqus.com/forums/grammarist/count.js
REQ http://grammarist.com/usage/dove-dived/ http://connect.facebook.net/en_US/all.js
REC http://grammarist.com/usage/dove-dived/ http://platform.twitter.com/widgets.js
REC http://grammarist.com/usage/dove-dived/ http://platform.twitter.com/widgets.js
REQ http://grammarist.com/usage/dove-dived/ http://platform.twitter.com/widgets/tweet_button.1401325387.html#_=1402097004764&count=horizontal&id=twitter-widget-0&lang=en&original_referer=http%3A%2F%2Fgrammarist.com%2Fusage%2Fdove-dived%2F&size=m&text=Dove%20vs.%20dived%20-%20Grammarist&url=http%3A%2F%2Fgrammarist.com%2Fusage%2Fdove-dived%2F&via=_grammarist
REC http://grammarist.com/usage/dove-dived/ http://grammarist.disqus.com/embed.js?pname=wordpress&pver=2.74
REQ http://grammarist.com/usage/dove-dived/ http://go.disqus.com/embed.js
REC http://grammarist.com/usage/dove-dived/ http://disqus.com/forums/grammarist/count.js
REQ http://grammarist.com/usage/dove-dived/ http://grammarist.disqus.com/count.js
REC http://grammarist.com/usage/dove-dived/ http://platform.twitter.com/widgets/tweet_button.1401325387.html#_=1402097004764&count=horizontal&id=twitter-widget-0&lang=en&original_referer=http%3A%2F%2Fgrammarist.com%2Fusage%2Fdove-dived%2F&size=m&text=Dove%20vs.%20dived%20-%20Grammarist&url=http%3A%2F%2Fgrammarist.com%2Fusage%2Fdove-dived%2F&via=_grammarist
